figure,panel,source_file,source_row,from,to,edge_type,edge_support,signed_balance,selection_rule
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,79,neutrophil_cell,FVC,Biomarker-B bridge,6,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,80,neutrophil_cell,UIP,Biomarker-B bridge,6,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,81,seropositive_RA,UIP,Biomarker-B bridge,6,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,82,ACPA_RF,organizing_pneumonia,Biomarker-B bridge,5,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,83,Cytokine_inflammation,DLCO,Biomarker-B bridge,5,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,84,anti_Ro_SSA,DLCO,Biomarker-B bridge,5,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,85,anti_Ro_SSA,NSIP,Biomarker-B bridge,5,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,86,macrophage_cell,NSIP,Biomarker-B bridge,5,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,87,myofibroblast_cell,UIP,Biomarker-B bridge,5,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,88,B_cell,NSIP,Biomarker-B bridge,4,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,89,Fibrosis_pathway,ground_glass,Biomarker-B bridge,4,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
